Incident ID	Incident Date	State	City Or County	Address	# Killed	# Injured	Operations	Incidence type
1823516	October 13, 2020	Michigan	Montgomery	800 block of S Ray Quincy Rd	0	1		children
1822715	October 12, 2020	Florida	Tampa	4000 Block of Dreisler St	1	0		children
1823372	October 12, 2020	California	Lancaster	2100 block of E Ave J-8	0	1		children
1821026	October 11, 2020	Tennessee	Chattanooga	200 block of W 8th St	0	3		children
1819955	October 10, 2020	Missouri	Saint Louis (Jennings)	8800 block of Shannon Fox Cir	2	2		children
1819232	October 9, 2020	Illinois	Chicago	300 block of E 103rd St	0	1		children
1819452	October 9, 2020	Ohio	Cleveland	9600 block of Cumberland Ave	0	2		children
1819464	October 9, 2020	Oregon	Beaverton (Aloha)	7100 block of SW Millennium Ter	1	0		children
1820233	October 9, 2020	Texas	Houston	6229 Almeda Genoa Rd	2	1		children
1818162	October 8, 2020	Kansas	Topeka	601 NW US-24	0	3		children
1818098	October 7, 2020	Tennessee	Memphis	Tennessee St and Huling Ave	0	1		children
1817614	October 7, 2020	Wisconsin	Milwaukee	3200 block of N 9th St	0	1		children
1817373	October 7, 2020	Illinois	Chicago	3045 E 83rd St	0	1		children
1819458	October 7, 2020	Washington	Yakima	East H St and N 6th St	0	1		children
1817249	October 7, 2020	Alabama	Birmingham (Hoover)	2135 Centennial Dr	0	1		children
1817371	October 7, 2020	Illinois	Chicago	1500 block of N Lorel Ave	1	0		children
1816084	October 6, 2020	Tennessee	Memphis	Rocky Ridge Dr	0	1		children
1816311	October 5, 2020	California	Fillmore	1000 block of Meadowlark Dr	0	1		children
1814870	October 4, 2020	California	Long Beach	1100 block of E 10th St	0	2		children
1815051	October 4, 2020	West Virginia	Huntington	709 Jackson Ave	0	1		children
1817952	October 4, 2020	Michigan	Wyoming	2200 block of 29th St SW	0	1		children
1813511	October 3, 2020	Alabama	Athens	13000 block of Brownsferry Rd	0	1		children
1813583	October 3, 2020	California	Sacramento	Roanoke Ave and Haywood St	1	3		children
1829938	October 2, 2020	Tennessee	Memphis	Park Ave and Getwell Rd	0	1		children
1812906	October 2, 2020	Kentucky	Walton	500 block of Winchester Dr	1	2		children
1814976	October 2, 2020	South Carolina	Burton	Ramsey Loop	0	1		children
1816151	October 2, 2020	Idaho	Garden Valley		0	1		children
1813345	October 2, 2020	Florida	Fort Lauderdale (Tamarac)		0	1		children
1813483	October 1, 2020	North Carolina	Huntersville	8900 Block of Pinnacle Cross Dr	0	1		children
1811676	October 1, 2020	Louisiana	Geismar	36471 LA-74	1	0		children
1811297	September 30, 2020	Michigan	Warren	2000 block of Otis Ave	3	0		children
1812880	September 30, 2020	Washington	Selah	1100 block of W Goodlander Rd	0	1		children
1809780	September 29, 2020	Kentucky	Louisville	1900 block of Dixie Garden Dr	0	1		children
1811282	September 29, 2020	New Jersey	Trenton		0	1		children
1809365	September 29, 2020	Michigan	Flint	600 block of Crawford St	0	1		children
1808737	September 29, 2020	South Carolina	Latta	721 US-501	0	2		children
1809136	September 29, 2020	Louisiana	Baton Rouge	5900 block of Heidel Ave	0	2		children
1808521	September 28, 2020	Oregon	Salem	244 Juneva Place SE	3	1		children
1808867	September 28, 2020	South Carolina	Conway	1600 block of Suggs St	2	0		children
1808603	September 27, 2020	Texas	Houston	5625 Antoine Dr	0	1		children
1806445	September 26, 2020	Michigan	Detroit	Belleterre Ave and Burlingame St	0	2		children
1806368	September 26, 2020	Missouri	Saint Louis	4700 block of Vernon Ave	0	5		children
1805426	September 25, 2020	North Carolina	Clayton	100 block of Smart Ct	0	1		children
1806055	September 24, 2020	Oklahoma	Pauls Valley	Airline Rd	0	1		children
1804782	September 24, 2020	South Carolina	Greenwood	Foundry Rd	0	1		children
